iter	Logloss
0	0.6179840524
1	0.5613219787
2	0.5171141866
3	0.4857740046
4	0.4586452073
5	0.4371072693
6	0.4209129799
7	0.408634198
8	0.3973477441
9	0.3897511409
10	0.3834664087
11	0.3767879577
12	0.3719162079
13	0.367284778
14	0.3644133572
15	0.362404714
16	0.3600553506
17	0.3577571359
18	0.3566172895
19	0.3540397822
20	0.3525359193
21	0.351658896
22	0.3502251296
23	0.3492943848
24	0.3478246338
25	0.3463578468
26	0.3457580565
27	0.3452520695
28	0.3438111927
29	0.3428725948
30	0.3421186857
31	0.3412808169
32	0.3406548332
33	0.3401306608
34	0.3396273971
35	0.3388604129
36	0.3381466779
37	0.3373378557
38	0.3368450265
39	0.3362137055
40	0.3358715245
41	0.3351850484
42	0.3345766201
43	0.3342199577
44	0.333708796
45	0.3332677396
46	0.3328004891
47	0.3323709073
48	0.3320722519
49	0.3317702942
