iter	Passed	Remaining
0	5	280
1	20	502
2	28	439
3	35	402
4	39	351
5	54	398
6	60	372
7	69	362
8	73	332
9	89	356
10	96	342
11	100	317
12	109	310
13	116	298
14	125	291
15	144	307
16	149	290
17	168	300
18	175	285
19	182	273
20	186	257
21	191	244
22	198	233
23	214	231
24	221	221
25	228	210
26	232	198
27	236	186
28	251	182
29	263	175
30	268	164
31	274	154
32	291	150
33	299	140
34	320	137
35	337	131
36	346	121
37	357	112
38	362	102
39	388	97
40	392	86
41	410	78
42	417	68
43	435	59
44	448	49
45	454	39
46	460	29
47	475	19
48	482	9
49	488	0
